,Point_number,Point Latitude,Point Longitude,Pharmacy name,Pharmacy Latitude,Pharmacy Longitude,Pharmacy distance to point,Pharmacy Adress,Pharmacy Address
0,2,-34.692071312962916,-58.476495766519946,Farmacia San Pedro,-34.6900532819874,-58.481157159890756,482,,Cabildo
1,6,-34.6854494814444,-58.48434854215995,Farmacia San Pedro,-34.6900532819874,-58.481157159890756,589,,Cabildo
2,7,-34.6854494814444,-58.476495766519946,Farmacity,-34.686374,-58.476301,104,,Cnel. Martiniano Chilavert 6461
3,7,-34.6854494814444,-58.476495766519946,Farmacia Belen,-34.6858207479697,-58.47521865534899,123,,Cnel. Martiniano Chilavert 6364
4,7,-34.6854494814444,-58.476495766519946,Óptica Sacaria,-34.68668469343905,-58.47636759281158,138,,Chilavert
5,9,-34.6854494814444,-58.46079021523995,Farmacia San Alberto,-34.686954498291016,-58.461395263671875,176,,Cañada De Gomez 5201
6,14,-34.67882764992588,-58.476495766519946,Farmacia Inglesa,-34.67649181729445,-58.476757618543054,261,,Somellera 5725
7,14,-34.67882764992588,-58.476495766519946,Optica De Betina,-34.6779226,-58.4748805,178,,
8,14,-34.67882764992588,-58.476495766519946,Farmacia Cientifica,-34.67637466797697,-58.47573164078428,281,,
9,16,-34.67882764992588,-58.46079021523995,FarmaServ,-34.6753191595829,-58.45916114238966,418,,Factory Parque Brown
10,22,-34.67220581840736,-58.476495766519946,Farmacia Belén,-34.67293948478201,-58.47336597927495,297,,Av. Riesta
11,22,-34.67220581840736,-58.476495766519946,Farmacia Inglesa,-34.67649181729445,-58.476757618543054,477,,Somellera 5725
12,22,-34.67220581840736,-58.476495766519946,Farmacia Cientifica,-34.67637466797697,-58.47573164078428,469,,
13,22,-34.67220581840736,-58.476495766519946,Farmacia María Inés,-34.67296901979171,-58.4734734068788,289,,
14,23,-34.67220581840736,-58.46864299087995,Farmacia Belén,-34.67293948478201,-58.47336597927495,440,,Av. Riesta
15,23,-34.67220581840736,-58.46864299087995,Farmacia María Inés,-34.67296901979171,-58.4734734068788,450,,
16,24,-34.67220581840736,-58.46079021523995,FarmaServ,-34.6753191595829,-58.45916114238966,377,,Factory Parque Brown
17,39,-34.658962155370325,-58.51575964471994,Farmacity,-34.66136665494439,-58.516725613361494,281,,Saladillo 2016
18,39,-34.658962155370325,-58.51575964471994,Farmacia Romy,-34.661795195543036,-58.51714605069973,339,,Alberdi
19,40,-34.658962155370325,-58.507906869079946,Farmacia Del Oeste,-34.65452325445453,-58.505689507508364,534,,Juan Bautista Alberdi
20,43,-34.658962155370325,-58.48434854215995,Farmacia Crisar,-34.66044503051989,-58.48259836435318,230,,Av. Eva Perón 5336
21,44,-34.658962155370325,-58.476495766519946,Farmacity,-34.657364,-58.478336,245,,Eva Perón
22,44,-34.658962155370325,-58.476495766519946,Farmacia Crisar,-34.66044503051989,-58.48259836435318,582,,Av. Eva Perón 5336
23,55,-34.6523403238518,-58.523612420359946,Farmacia G.E.S.,-34.655945108647856,-58.52477694207218,415,,Av Emilio Castro 7649
24,55,-34.6523403238518,-58.523612420359946,Farmacia G.E.S.,-34.652000739375886,-58.52445897816887,86,,Av. Emilio Castro 7649
25,55,-34.6523403238518,-58.523612420359946,Farmacia,-34.65121934253819,-58.525792201112566,235,,Montiel
26,56,-34.6523403238518,-58.51575964471994,Farmacia Paris,-34.6511646108547,-58.513771439154986,224,,
27,56,-34.6523403238518,-58.51575964471994,Farmacia Richet,-34.650672714649254,-58.51015151135094,546,,Pola
28,56,-34.6523403238518,-58.51575964471994,Farmacia Trinidad,-34.650333,-58.512257,390,,Av. Emilio Castro 6451
29,57,-34.6523403238518,-58.507906869079946,Farmacia Paris,-34.6511646108547,-58.513771439154986,552,,
30,57,-34.6523403238518,-58.507906869079946,Farmacity,-34.65127040823539,-58.502247430680875,531,,Av. Juan B. Alberdi 5801
31,57,-34.6523403238518,-58.507906869079946,Farmacia Belen,-34.653915850289735,-58.504975602962766,320,,Av Juan B. Alberdi 6151
32,57,-34.6523403238518,-58.507906869079946,Farmacia Richet,-34.650672714649254,-58.51015151135094,276,,Pola
33,57,-34.6523403238518,-58.507906869079946,Farmacia Trinidad,-34.650333,-58.512257,456,,Av. Emilio Castro 6451
34,57,-34.6523403238518,-58.507906869079946,Farmacia Del Oeste,-34.65452325445453,-58.505689507508364,316,,Juan Bautista Alberdi
35,57,-34.6523403238518,-58.507906869079946,Farmacia La Cacheuta,-34.65182764899126,-58.50275025708893,475,,Juan B Alberdi 5889
36,58,-34.6523403238518,-58.50005409343995,Farmacity,-34.65127040823539,-58.502247430680875,233,,Av. Juan B. Alberdi 5801
37,58,-34.6523403238518,-58.50005409343995,Farmacia La Cacheuta,-34.65182764899126,-58.50275025708893,253,,Juan B Alberdi 5889
38,58,-34.6523403238518,-58.50005409343995,Farmacia Belen,-34.653915850289735,-58.504975602962766,483,,Av Juan B. Alberdi 6151
39,58,-34.6523403238518,-58.50005409343995,Farmacia Del Oeste,-34.65452325445453,-58.505689507508364,570,,Juan Bautista Alberdi
40,59,-34.6523403238518,-58.492201317799946,Farmacia Directorio,-34.64975954915839,-58.48931543794552,390,,
41,59,-34.6523403238518,-58.492201317799946,FarmaVital,-34.64775,-58.49422,543,,Av. Juan B. Alberdi 4899
42,60,-34.6523403238518,-58.48434854215995,Farmacia Directorio,-34.64975954915839,-58.48931543794552,537,,
43,61,-34.6523403238518,-58.476495766519946,Farmacity,-34.657364,-58.478336,584,,Eva Perón
44,61,-34.6523403238518,-58.476495766519946,Me Tente,-34.647503,-58.477005,540,,Av. Directorio 3701
45,68,-34.6523403238518,-58.42152633703996,Farmacias Dr. Ahorro,-34.6528946,-58.4163857,474,,Av. Sáenz 1091
